"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBM24",2.11978292673705e-37,-5.52563539387335,0.008,0.107,7.74759461893123e-33
"ATP5MC3",2.14437107405528e-37,-29.0272420622774,0.8,0.714,7.83746183856466e-33
"ABHD3",2.30543139267859e-37,-31.6940630438321,0.161,0.299,8.42612119710098e-33
"MCUR1",2.36210164669425e-37,-10.5971603777197,0.396,0.26,8.63324530850282e-33
"ENSG00000231985",2.41322464025157e-37,1.61809543611272,0.074,0.024,8.82009473765545e-33
"ENSG00000251200",2.51430493851754e-37,3.25953674289358,0.028,0.005,9.18953311978774e-33
"HNRNPA0",2.57344150442688e-37,-9.88608896685903,0.592,0.711,9.40567135452979e-33
"ZBTB33",2.62329847706422e-37,-2.34155131831126,0.084,0.215,9.587893603822e-33
"TRIM8",2.82851311241571e-37,-3.75057600807382,0.547,0.408,1.03379325745682e-32
"SPATA17",3.18216813048687e-37,-19.8145459122318,0.132,0.057,1.16305063001165e-32
"CRHR2",3.19226273401982e-37,-25.7611649289914,0.004,0.101,1.1667401066569e-32
"CDH20",3.31547511372162e-37,76.894642122559,0.454,0.328,1.21177299931412e-32
"CARMIL1",3.44483708947183e-37,-32.7006356755208,0.624,0.468,1.25905350783106e-32
"PCYT1B",3.4951122601835e-37,-5.10356634683128,0.029,0.141,1.27742857997447e-32
"GLIPR2",3.6798689569894e-37,-60.308610237634,0.062,0.187,1.34495530509005e-32
"TEX2",3.77668206165952e-37,-22.5496915917036,0.243,0.136,1.38033952671594e-32
"DET1",4.0062259627027e-37,1.36456046191009,0.243,0.135,1.46423552710821e-32
"TTPA",4.06328097409632e-37,-14.6261940204303,0.011,0.113,1.48508856322246e-32
"ECI1",4.11376789946406e-37,-32.7501801135291,0.49,0.35,1.50354102957512e-32
"CACNG8",4.12965232604297e-37,-7.1793335988583,0.038,0.153,1.50934662864544e-32
"PPP3R1",4.37885938585907e-37,-36.5644292443688,0.647,0.521,1.60042931693763e-32
"MIR210HG",4.47235725962632e-37,0.366576337487823,0.112,0.045,1.63460185482082e-32
"SUN2",4.58325141879515e-37,-6.39821214886911,0.12,0.257,1.67513256105544e-32
"NR2C1",4.6113536074488e-37,1.65173780549504,0.415,0.28,1.68540362998646e-32
"LOC105373347",4.73913603820387e-37,32.1712351950026,0.046,0.011,1.73210683060313e-32
"SYTL2",4.76156685671351e-37,-60.7358168270921,0.145,0.065,1.74030507046022e-32
"PPP1R15A",4.81436010269781e-37,-80.7530108967052,0.227,0.376,1.75960047393502e-32
"H1-3",5.46224387300379e-37,-104.701747892926,0.037,0.15,1.99639551314416e-32
"ENSG00000196096",5.6236005442434e-37,2.80880481983491,0.019,0.002,2.05536976291552e-32
"BACE1",5.71428976590378e-37,-0.981406039895047,0.466,0.333,2.08851576654017e-32
"HMGB2",5.7935633722024e-37,-215.972451231795,0.626,0.441,2.11748947690625e-32
"MMAB",5.93631958029241e-37,-47.1270345147577,0.285,0.166,2.16966544340107e-32
"RPA3",6.00462002235514e-37,-6.78815987489838,0.44,0.293,2.19462857197058e-32
"ENSG00000231114",6.03589259349198e-37,-4.80890602242101,0.013,0.115,2.20605838399539e-32
"KDM4D",6.07408173158115e-37,1.38864325269369,0.102,0.039,2.2200161320756e-32
"TCEAL7",6.18173590332262e-37,-15.6177846805643,0.217,0.366,2.25936265530538e-32
"ANKS1A",6.22769525648395e-37,-28.417659129322,0.484,0.354,2.27616033929232e-32
"TRO",6.28451110070176e-37,-2.17100673961558,0.104,0.238,2.29692596219549e-32
"BRD9",6.34665816417945e-37,-2.11562436230534,0.3,0.45,2.31964009242595e-32
"SNRNP70",6.59052952697406e-37,-1.34695338409203,0.488,0.623,2.40877263681375e-32
"ARGLU1",7.12703606782918e-37,-4.16946190679739,0.756,0.831,2.60486041243089e-32
"TUBB4A",7.31993889227805e-37,-19.1520054370535,0.116,0.255,2.67536446573871e-32
"EMP3",7.62208721751364e-37,-60.7373949508362,0.036,0.149,2.78579665712906e-32
"EVA1C",7.83571060951052e-37,-41.81490862739,0.1,0.23,2.86387387067e-32
"SLC7A14",7.92979932557456e-37,-4.10539555318623,0.091,0.033,2.89826235550425e-32
"MAPK8IP2",8.22367092224932e-37,0.291395603543241,0.197,0.101,3.0056694853729e-32
"ENSG00000269883",8.23745606935715e-37,3.13763986678776,0.018,0.002,3.01070781878935e-32
"ABCB1",8.59855778500917e-37,-12.4368785139146,0.127,0.055,3.142686884843e-32
"SEC62",8.62957334076492e-37,-16.7859066089288,0.882,0.804,3.15402276031617e-32
"AK3",8.63797147636337e-37,-3.30241907774872,0.308,0.46,3.15709219489605e-32
"SWAP70",8.76438189794467e-37,-3.19858392489023,0.095,0.228,3.2032939398798e-32
"RNF8",8.77459192222112e-37,3.29569640603695,0.413,0.28,3.2070256016526e-32
